world_region,country_code,country,ccj_id,Gold,Silver,Bronze,total_medals,Ladder score,upperwhisker,lowerwhisker,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual
Central and Eastern Europe,ALB,Albania,ccj2,0,0,2,2,5.304,5.44,5.168,1.438,0.924,0.638,0.69,0.138,0.049,1.428
Middle East and North Africa,DZA,Algeria,ccj3,2,0,1,3,5.364,5.476,5.251,1.324,1.191,0.568,0.247,0.091,0.2,1.743
Latin America and Caribbean,ARG,Argentina,ccj5,1,1,1,3,6.188,6.306,6.07,1.562,1.381,0.585,0.681,0.087,0.08,1.812
Commonwealth of Independent States,ARM,Armenia,ccj6,0,3,1,4,6.188,6.306,6.07,1.562,1.381,0.585,0.681,0.087,0.08,1.812
North America and ANZ,AUS,Australia,ccj7,18,19,16,53,7.057,7.141,6.973,1.854,1.461,0.692,0.756,0.225,0.323,1.745
Western Europe,AUT,Austria,ccj8,2,0,3,5,6.905,6.986,6.824,1.885,1.336,0.696,0.703,0.214,0.305,1.766
Commonwealth of Independent States,AZE,Azerbaijan,ccj9,2,2,3,7,4.893,5.018,4.768,1.433,0.876,0.496,0.668,0.112,0.199,1.11
Western Europe,BEL,Belgium,ccj13,3,1,6,10,6.894,6.961,6.827,1.868,1.44,0.69,0.729,0.17,0.311,1.686
Sub-Saharan Africa,BWA,Botswana,ccj19,1,1,0,2,3.383,3.558,3.209,1.445,0.969,0.241,0.567,0.014,0.082,0.066
Latin America and Caribbean,BRA,Brazil,ccj20,3,7,10,20,6.272,6.39,6.154,1.43,1.269,0.548,0.685,0.13,0.142,2.068
Central and Eastern Europe,BGR,Bulgaria,ccj21,3,1,3,7,5.463,5.569,5.357,1.629,1.469,0.567,0.62,0.083,0.006,1.088
North America and ANZ,CAN,Canada,ccj26,9,7,11,27,6.9,6.984,6.815,1.84,1.459,0.701,0.73,0.23,0.368,1.572
Latin America and Caribbean,CHL,Chile,ccj30,1,1,0,2,6.36,6.448,6.273,1.616,1.369,0.673,0.651,0.117,0.075,1.858
East Asia,CHN,China,ccj31,40,27,24,91,5.973,6.061,5.885,1.497,1.239,0.629,0.704,0.132,0.164,1.608
East Asia,TWN,Chinese Taipei,ccj150,2,0,5,7,6.503,6.597,6.41,1.842,1.346,0.65,0.649,0.068,0.202,1.747
Latin America and Caribbean,COL,Colombia,ccj32,0,3,1,4,5.695,5.806,5.584,1.437,1.241,0.648,0.644,0.072,0.059,1.596
Central and Eastern Europe,HRV,Croatia,ccj38,2,2,3,7,5.942,6.047,5.837,1.71,1.445,0.637,0.469,0.064,0.043,1.574
Western Europe,CYP,Cyprus,ccj40,0,1,0,1,6.068,6.182,5.954,1.794,1.217,0.744,0.529,0.124,0.049,1.611
Central and Eastern Europe,CZE,Czech Republic,ccj41,3,0,2,5,6.822,6.903,6.741,1.783,1.511,0.638,0.787,0.177,0.068,1.858
Western Europe,DNK,Denmark,ccj42,2,2,5,9,7.583,7.665,7.5,1.908,1.52,0.699,0.823,0.204,0.548,1.881
Latin America and Caribbean,DOM,Dominican Republic,ccj44,1,0,2,3,5.823,5.967,5.679,1.517,1.272,0.511,0.73,0.086,0.196,1.512
Latin America and Caribbean,ECU,Ecuador,ccj45,1,2,2,5,5.725,5.85,5.599,1.315,1.151,0.64,0.606,0.087,0.078,1.846
Middle East and North Africa,EGY,Egypt,ccj46,1,1,1,3,3.977,4.066,3.887,1.37,0.996,0.488,0.49,0.025,0.259,0.349
Sub-Saharan Africa,ETH,Ethiopia,ccj50,1,3,0,4,3.861,3.997,3.725,0.792,0.915,0.42,0.441,0.27,0.101,0.923
Western Europe,FRA,France*,ccj53,16,26,22,64,6.609,6.685,6.533,1.818,1.348,0.727,0.65,0.112,0.281,1.672
Commonwealth of Independent States,GEO,Georgia,ccj56,3,3,1,7,5.185,5.283,5.087,1.467,0.99,0.524,0.68,0,0.174,1.349
Western Europe,DEU,Germany,ccj57,12,13,8,33,6.719,6.815,6.622,1.871,1.39,0.702,0.7,0.174,0.368,1.513
Western Europe,GBR,Great Britain,ccj162,14,22,29,65,6.749,6.833,6.665,1.822,1.326,0.672,0.713,0.267,0.351,1.598
Western Europe,GRC,Greece,ccj59,1,1,6,8,5.934,6.027,5.84,1.684,1.276,0.696,0.337,0.018,0.093,1.83
Latin America and Caribbean,GTM,Guatemala,ccj61,1,0,1,2,6.287,6.457,6.117,1.26,1.169,0.467,0.735,0.105,0.078,2.473
East Asia,HKG,Hong Kong,ccj66,2,0,2,4,5.316,5.403,5.229,1.909,1.184,0.857,0.485,0.147,0.402,0.333
Central and Eastern Europe,HUN,Hungary,ccj67,6,7,6,19,6.017,6.124,5.91,1.722,1.528,0.596,0.581,0.123,0.067,1.4
South Asia,IND,India,ccj69,0,1,5,6,4.054,4.123,3.985,1.166,0.653,0.417,0.767,0.174,0.122,0.756
Southeast Asia,IDN,Indonesia,ccj70,2,0,1,3,5.568,5.67,5.466,1.361,1.184,0.472,0.779,0.399,0.055,1.318
Middle East and North Africa,IRN,Iran,ccj71,3,6,3,12,5.166,5.283,5.049,1.249,0.996,0.498,0.425,0.141,0.048,1.809
Western Europe,IRL,Ireland,ccj73,4,0,3,7,7.525,7.618,7.433,1.881,1.617,0.718,0.819,0.258,0.182,2.05
